player,pos,team,source_rank,value,overall_rank,position_rank,sleeper_id
Jeremiyah Love,RB,ARI,1,6755,17,4,13287
Fernando Mendoza,QB,LV,2,4308,37,14,13269
Carnell Tate,WR,TEN,3,4223,39,13,13279
Jordyn Tyson,WR,NO,4,3781,51,17,13281
Makai Lemon,WR,PHI,5,3696,54,19,13294
Jadarian Price,RB,SEA,6,3273,69,19,13286
Kenyon Sadiq,TE,NYJ,7,3076,78,7,13330
KC Concepcion,WR,CLE,8,2939,81,29,13298
Ty Simpson,QB,LAR,9,2630,87,26,13275
Omar Cooper,WR,NYJ,10,2626,88,31,13276
Eli Stowers,TE,PHI,11,2481,92,10,13349
Denzel Boston,WR,CLE,12,2383,94,33,13346
Jonah Coleman,RB,DEN,13,2073,108,28,13345
Chris Bell,WR,MIA,14,2010,110,42,13311
Nicholas Singleton,RB,TEN,15,1819,124,31,13288
Germie Bernard,WR,PIT,16,1815,126,52,13274
Antonio Williams,WR,WAS,17,1812,127,53,13301
Carson Beck,QB,ARI,18,1636,140,32,13272
De'Zhaun Stribling,WR,SF,19,1563,150,60,13417
Zachariah Branch,WR,ATL,20,1560,151,61,13320
Kaytron Allen,RB,WAS,21,1525,155,40,13405
Elijah Sarratt,WR,BAL,22,1497,158,63,13268
Chris Brazzell,WR,CAR,23,1482,161,64,13353
Malachi Fields,WR,NYG,24,1470,163,65,13285
Mike Washington,RB,LV,25,1458,165,45,13305
Emmett Johnson,RB,KC,26,1458,166,46,13337
Skyler Bell,WR,BUF,27,1391,173,69,13402
Ted Hurst,WR,TB,28,1387,175,70,13317
Max Klare,TE,LAR,29,1375,177,24,13278
Ja'Kobi Lane,WR,BAL,30,1320,182,72,13293
Drew Allar,QB,PIT,31,1246,189,38,13289
Demond Claiborne,RB,MIN,32,1139,207,61,13347
Cade Klubnik,QB,NYJ,33,1018,218,40,13303
Oscar Delp,TE,NO,34,1018,219,29,13319
Adam Randall,RB,BAL,35,996,222,63,13302
Kaelon Black,RB,SF,36,988,223,64,13414
Eli Raridon,TE,NE,37,932,234,34,13421
Garrett Nussmeier,QB,KC,38,891,236,44,13404
Brenen Thompson,WR,LAC,39,869,240,94,13380
Kevin Coleman,WR,MIA,40,842,242,95,13338
Justin Joly,TE,DEN,41,826,245,36,13400
Eli Heidenreich,RB,PIT,42,784,250,72,13423
Bryce Lance,WR,NO,43,720,254,99,13420
Taylen Green,QB,CLE,44,696,256,46,13306
Michael Trigg,TE,DAL,45,688,257,39,13401
Caleb Douglas,WR,MIA,46,683,259,100,13296
Le'Veon Moss,RB,MIA,47,531,271,76,13300
Deion Burks,WR,IND,48,492,277,108,13333
Zavion Thomas,WR,CHI,49,473,278,109,13411
CJ Daniels,WR,LAR,50,464,279,110,13270
J'Mari Taylor,RB,JAX,51,452,282,80,13348
Jack Endries,TE,CIN,52,450,283,45,13282
Will Kacmarek,TE,MIA,53,409,287,46,13434
Jam Miller,RB,NE,54,378,293,84,13403
Marlin Klein,TE,HOU,55,366,295,47,13307
Seth McGowan,RB,IND,56,357,296,85,13424
Cole Payton,QB,PHI,57,346,300,51,13335
Tanner Koziol,TE,JAX,58,343,301,48,13408
Diego Pavia,QB,FA,59,225,324,58,13427
Sam Roush,TE,CHI,60,182,330,54,13322
Roman Hemby,RB,FA,61,173,334,94,13416
Matthew Hibner,TE,BAL,62,153,339,56,13324
Malik Benson,WR,LV,63,151,341,130,13329
Colbie Young,WR,CIN,64,105,354,136,13477
John Michael Gyllenborg,TE,FA,65,99,357,60,13342
Josh Cameron,WR,JAX,66,96,358,137,13394
Robert Henry,RB,FA,67,95,360,98,13418
Cyrus Allen,WR,KC,68,76,372,142,13413
Nate Boerkircher,TE,JAX,69,69,373,64,13299
Jaren Kanak,TE,TEN,70,43,381,65,13422
