player,pos,team,source_rank
Jeremiyah Love,RB,ARI,1
Fernando Mendoza,QB,LV,2
Carnell Tate,WR,TEN,3
Makai Lemon,WR,PHI,4
Jordyn Tyson,WR,NO,5
KC Concepcion,WR,CLE,6
Ty Simpson,QB,LAR,7
Jadarian Price,RB,SEA,8
Omar Cooper Jr.,WR,NYJ,9
Eli Stowers,TE,PHI,10
Kenyon Sadiq,TE,NYJ,11
Denzel Boston,WR,CLE,12
Germie Bernard,WR,PIT,13
Antonio Williams,WR,WAS,14
Emmett Johnson,RB,KC,15
Jonah Coleman,RB,DEN,16
Malachi Fields,WR,NYG,17
Nicholas Singleton,RB,TEN,18
Chris Bell,WR,MIA,19
Skyler Bell,WR,BUF,20
Chris Brazzell II,WR,CAR,21
Demond Claiborne,RB,MIN,22
Ted Hurst,WR,TB,23
Mike Washington Jr.,RB,LV,24
Elijah Sarratt,WR,BAL,25
Zachariah Branch,WR,ATL,26
De'Zhaun Stribling,WR,SF,27
Kaytron Allen,RB,WAS,28
Kaelon Black,RB,SF,29
Cole Payton,QB,PHI,30
Bryce Lance,WR,NO,31
Ja'Kobi Lane,WR,BAL,32
Taylen Green,QB,CLE,33
Carson Beck,QB,ARI,34
Max Klare,TE,LAR,35
Oscar Delp,TE,NO,36
Adam Randall,RB,BAL,37
Caleb Douglas,WR,MIA,38
Justin Joly,TE,DEN,39
Drew Allar,QB,PIT,40
Brenen Thompson,WR,LAC,41
Kevin Coleman,WR,MIA,42
Eli Heidenreich,RB,PIT,43
Kendrick Law,WR,DET,44
Sam Roush,TE,CHI,45
Cade Klubnik,QB,NYJ,46
Eli Raridon,TE,NE,47
Reggie Virgil,WR,ARI,48
