player,pos,team,source_rank,value
Jeremiyah Love,RB,ARI,1,7592
Carnell Tate,WR,TEN,2,5690
Fernando Mendoza,QB,LV,3,5625
Jordyn Tyson,WR,NO,4,5192
Makai Lemon,WR,PHI,5,5056
Kenyon Sadiq,TE,NYJ,6,4556
Jadarian Price,RB,SEA,7,4546
KC Concepcion,WR,CLE,8,4438
Eli Stowers,TE,PHI,9,3897
Omar Cooper Jr.,WR,NYJ,10,3817
Ty Simpson,QB,LAR,11,3660
Denzel Boston,WR,CLE,12,3396
Jonah Coleman,RB,DEN,13,2862
Chris Bell,WR,MIA,14,2862
Nicholas Singleton,RB,TEN,15,2838
Germie Bernard,WR,PIT,16,2719
Elijah Sarratt,WR,BAL,17,2580
Chris Brazzell II,WR,CAR,18,2575
Mike Washington Jr.,RB,LV,19,2481
Zachariah Branch,WR,ATL,20,2405
Malachi Fields,WR,NYG,21,2402
Emmett Johnson,RB,KC,22,2328
Skyler Bell,WR,BUF,23,2266
Ja'Kobi Lane,WR,BAL,24,2240
Kaytron Allen,RB,WAS,25,2199
Max Klare,TE,LAR,26,2194
Antonio Williams,WR,WAS,27,2187
Garrett Nussmeier,QB,KC,28,1744
Ted Hurst,WR,TB,29,1696
Michael Trigg,TE,DAL,30,1522
Kevin Coleman,WR,MIA,31,1452
Cade Klubnik,QB,NYJ,32,1444
Demond Claiborne,RB,MIN,33,1351
De'Zhaun Stribling,WR,SF,34,1269
Oscar Delp,TE,NO,35,983
Drew Allar,QB,PIT,36,971
Carson Beck,QB,ARI,37,964
Le'Veon Moss,RB,FA,38,954
Deion Burks,WR,IND,40,895
Jam Miller,RB,NE,41,823
Bryce Lance,WR,NO,42,760
Justin Joly,TE,DEN,43,726
J'Mari Taylor,RB,JAC,44,710
Eli Raridon,TE,NE,45,668
Sam Roush,TE,CHI,46,636
Seth McGowan,RB,IND,47,615
CJ Daniels,WR,LAR,48,606
Kaelon Black,RB,SF,53,569
Nate Boerkircher,TE,JAC,54,516
Zavion Thomas,WR,CHI,56,439
Brenen Thompson,WR,LAC,58,332
Eli Heidenreich,RB,PIT,60,201
